Designator,Mid X,Mid Y,Rotation,Layer
BT1,79.0,-61.0,90.0,top
C1,40.8,-74.8,270.0,top
C10,37.4,-57.2,90.0,top
C11,36.4,-57.2,90.0,top
C12,32.2,-67.1,180.0,top
C13,34.1,-70.6,270.0,top
C14,34.1,-60.4,0.0,top
C15,34.9,-63.0,90.0,top
C16,33.9,-63.0,90.0,top
C17,52.3,-67.4,90.0,top
C18,30.3,-71.6,90.0,top
C19,52.3,-64.4,270.0,top
C2,48.8,-65.2,0.0,top
C20,84.4,-81.35,90.0,top
C21,82.9,-81.35,90.0,top
C22,84.7,-78.2,270.0,top
C23,81.4,-81.35,90.0,top
C24,90.5,-73.6,0.0,top
C25,91.7,-71.9,180.0,top
C26,96.6,-59.0,90.0,top
C27,94.3,-59.0,90.0,top
C28,91.6,-59.7,180.0,top
C29,89.1,-63.5,90.0,top
C3,40.5,-57.2,90.0,top
C30,87.6,-63.5,90.0,top
C31,87.6,-68.6,270.0,top
C32,85.9,-63.5,270.0,top
C33,79.9,-81.35,90.0,top
C34,79.2,-92.8,270.0,top
C35,75.4,-92.8,270.0,top
C36,83.0,-92.8,270.0,top
C37,86.8,-92.8,270.0,top
C38,79.2,-97.8,270.0,top
C39,75.4,-97.8,270.0,top
C4,38.8,-74.8,270.0,top
C40,83.0,-97.8,270.0,top
C41,86.8,-97.8,270.0,top
C42,102.1,-69.7,0.0,top
C43,100.7,-78.65,270.0,top
C44,114.4,-67.3,270.0,top
C45,102.3,-78.65,270.0,top
C46,112.9,-67.3,270.0,top
C47,71.4,-91.4,270.0,top
C48,92.4,-77.5,90.0,top
C49,98.2,-77.5,270.0,top
C5,42.8,-74.8,270.0,top
C50,73.6,-75.3,90.0,top
C51,75.6,-75.3,90.0,top
C52,77.6,-75.3,90.0,top
C53,82.2,-71.9,270.0,top
C54,46.1,-78.7,270.0,top
C55,42.5,-96.0,0.0,top
C56,44.2,-80.3,90.0,top
C57,89.1,-68.6,270.0,top
C58,88.3,-66.3,180.0,top
C59,53.8,-90.7,180.0,top
C6,48.8,-68.8,0.0,top
C60,110.5,-67.3,90.0,top
C61,69.9,-93.2,270.0,top
C62,68.4,-93.2,270.0,top
C63,71.6,-95.3,90.0,top
C64,88.3,-95.4,270.0,top
C65,94.2,-88.9,90.0,top
C66,116.5,-97.5,90.0,top
C67,96.0,-97.5,90.0,top
C68,115.0,-34.5,270.0,top
C69,94.5,-34.5,270.0,top
C7,48.8,-66.8,0.0,top
C70,108.3,-53.6,180.0,top
C71,90.0,-34.5,270.0,top
C72,69.5,-34.5,270.0,top
C73,96.3,-53.6,180.0,top
C74,65.0,-34.5,270.0,top
C75,44.5,-34.5,270.0,top
C76,39.7,-48.9,0.0,top
C77,40.0,-34.5,270.0,top
C78,19.8,-34.8,270.0,top
C79,27.7,-48.9,0.0,top
C8,44.9,-57.2,90.0,top
C80,74.6,-60.25,0.0,top
C81,74.6,-58.1,0.0,top
C82,63.4,-59.25,90.0,top
C83,63.4,-62.25,270.0,top
C84,74.6,-61.75,0.0,top
C85,74.6,-63.9,0.0,top
C86,64.2,-57.0,180.0,top
C87,60.9,-63.9,0.0,top
C88,67.6,-67.2,270.0,top
C9,41.5,-57.2,90.0,top
D1,30.9,-91.5,270.0,top
D10,48.6,-80.3,90.0,top
D11,70.2,-71.6,180.0,top
D12,65.6,-71.6,0.0,top
D13,69.4,-55.8,90.0,top
D2,77.3,-92.8,270.0,top
D3,73.5,-92.8,270.0,top
D4,81.1,-92.8,270.0,top
D5,84.9,-92.8,270.0,top
D6,77.3,-97.8,270.0,top
D7,73.5,-97.8,270.0,top
D8,81.1,-97.8,270.0,top
D9,84.9,-97.8,270.0,top
IC1,68.4,-61.0,90.0,top
J1,61.5,-98.5,0.0,top
J10,34.06,-39.715,0.0,top
J11,30.415,-39.58,0.0,top
J12,23.23,-73.5,0.0,top
J13,40.01,-86.67,90.0,top
J2,28.5,-98.0,0.0,top
J3,102.68,-92.5825,180.0,top
J4,109.06,-39.715,0.0,top
J5,105.415,-39.58,0.0,top
J6,84.06,-39.715,0.0,top
J7,80.415,-39.58,0.0,top
J8,59.06,-39.715,0.0,top
J9,55.415,-39.58,0.0,top
L1,32.3,-63.0,270.0,top
L2,48.1,-87.2,270.0,top
L3,110.5,-74.5,180.0,top
L4,61.8,-59.0,270.0,top
L5,60.9,-62.25,0.0,top
LED1,116.4,-100.5,180.0,top
LED10,19.6,-31.5,0.0,top
LED2,96.3,-100.5,180.0,top
LED3,114.7,-31.5,0.0,top
LED4,94.6,-31.5,0.0,top
LED5,89.7,-31.5,0.0,top
LED6,69.6,-31.5,0.0,top
LED7,64.7,-31.5,0.0,top
LED8,44.6,-31.5,0.0,top
LED9,39.7,-31.5,0.0,top
R1,33.5,-84.0,90.0,top
R11,102.1,-68.2,180.0,top
R12,108.1,-64.3,270.0,top
R13,106.6,-64.3,270.0,top
R14,114.4,-64.3,270.0,top
R15,112.9,-64.3,270.0,top
R16,95.3,-75.0,180.0,top
R17,95.3,-73.5,180.0,top
R18,46.1,-81.7,270.0,top
R19,91.6,-58.2,180.0,top
R2,32.2,-60.4,0.0,top
R20,69.9,-90.2,90.0,top
R21,53.8,-89.2,180.0,top
R22,68.4,-90.2,270.0,top
R23,53.8,-92.2,0.0,top
R24,50.3,-91.0,270.0,top
R25,50.3,-94.0,270.0,top
R26,74.21,-89.2,180.0,top
R27,77.21,-89.2,0.0,top
R28,107.5,-49.8,270.0,top
R29,95.5,-49.8,270.0,top
R3,66.6,-95.8,180.0,top
R30,40.5,-52.7,90.0,top
R31,28.5,-52.7,90.0,top
R32,106.7,-52.1,0.0,top
R33,94.7,-52.1,0.0,top
R34,41.3,-50.4,180.0,top
R35,29.3,-50.4,180.0,top
R36,109.0,-50.8,90.0,top
R37,97.0,-50.8,90.0,top
R38,39.0,-51.7,270.0,top
R39,27.0,-51.7,270.0,top
R4,32.2,-65.1,0.0,top
R40,74.6,-66.0,0.0,top
R41,74.6,-67.5,0.0,top
R42,70.6,-67.2,270.0,top
R43,69.1,-67.2,270.0,top
R5,32.2,-66.1,0.0,top
R6,51.8,-65.8,180.0,top
R7,31.2,-84.8,0.0,top
R8,31.2,-83.3,180.0,top
RN1,82.1,-78.2,180.0,top
RN2,101.5,-75.5,0.0,top
RN3,102.1,-65.6,90.0,top
SW1,56.3,-99.0,180.0,top
SW2,66.7,-99.0,180.0,top
T1,61.0,-80.5,180.0,top
U1,41.0,-66.0,180.0,top
U10,34.5,-51.0,270.0,top
U11,22.5,-51.0,270.0,top
U12,20.0,-39.2,270.0,top
U2,32.2,-77.8,0.0,top
U3,28.0,-91.5,270.0,top
U4,95.0,-66.0,180.0,top
U5,61.4,-91.6,0.0,top
U6,76.4,-84.7,90.0,top
U7,53.29,-94.65,0.0,top
U8,113.5,-51.5,90.0,top
U9,101.5,-51.5,90.0,top
Y1,54.6,-65.9,90.0,top
Y2,95.3,-77.5,0.0,top
